Kingdom	Phylum	Class	Order	Family	Genus	Species	Full_name	Heterotroph	Autotroph	Organotroph	Lithotroph	Chemotroph	Phototroph	Copiotroph_Diazotroph	Methylotroph	Oligotroph
Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	kavangonensis	Parviterribacter kavangonensis Foesel et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	multiflagellatus	Parviterribacter multiflagellatus Foesel et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	ectoiniformans	Bacillus ectoiniformans Zhu et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Haloimpatiens	lingqiaonensis	Haloimpatiens lingqiaonensis Wu et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Shimia	abyssi	Shimia abyssi (Nogi et al. 2016) Wirth and Whitman 2018	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Pontibacter	ummariensis	Pontibacter ummariensis Mahato et al. 2016	1	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	Inmirania	thermothiophila	Inmirania thermothiophila Slobodkina et al. 2016	0	0.333333333	0	0.333333333	0.333333333	0	0	0	0
Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_Incertae_Sedis	Unknown_Family	Deferrisoma	palaeochoriense	Deferrisoma palaeochoriense PÃ©rez-RodrÃ_guez et al. 2016	0.25	0.25	0	0.25	0.25	0	0	0	0
Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Paludisphaera	borealis	Paludisphaera borealis Kulichevskaya et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Dethiosulfatarculus	sandiegensis	Dethiosulfatarculus sandiegensis Davidova et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Izhakiella	capsodis	Izhakiella capsodis Aizenberg-Gershtein et al. 2016	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Abyssivirga	alkaniphila	Abyssivirga alkaniphila Schouw et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Proteobacteria	Deltaproteobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Caldimicrobium	thiodismutans	Caldimicrobium thiodismutans Kojima et al. 2016	0	0.333333333	0	0.333333333	0.333333333	0	0	0	0
