VAR	BCL2_MYC	CDX2.high	CRLF2	DUX4	ETV6.RUNX1	HLF	Hyperdiploid	Hypodiploid	iAMP21	IKZF1.n159y	KMT2A	MEF2D	NUTM1	PAX5.alt	PAX5.p80r	Ph	TCF3.PBX1	ZNF384
ECM1	-1.90955840426949	-1.07483691204846	0.728777735262399	-1.64510502122676	-0.0575159531489202	-1.82845463225929	0.42098898127193	0.378305516518673	0.97275803142649	0.303142603889397	-0.768666178609837	-1.51805661417552	-0.663418356030262	0.629901204409484	-0.168938049191852	0.873850000846013	-1.16333746227426	-0.0307198543647884
BLACE	-1.35749876047938	1.21086800163138	0.66663488414517	-1.22957644977133	0.957798197958167	-0.42184340974928	0.557457583680897	-1.10773277287813	0.764452966447237	-0.190063061134341	-1.27214688078494	-1.03719238872198	-0.0958496564540148	-0.116398348902774	0.543246806868089	0.496391120487418	-0.436912307702389	-1.28170749706398
TLCD5	-0.366157805734619	0.770804055948323	-0.968524065043297	-0.149476923989892	1.02470977097159	0.978839264869411	-0.011418785313716	0.975144688268141	0.33687008748048	0.789838741447859	-0.491574134677008	0.955695712917566	-0.142107700337325	0.668972943793688	-1.3624321482668	-0.263829202507674	0.960971314829456	-1.40211925942414
LAMP5	0.464930809860828	1.73771172359849	-0.573354497233379	-0.63260592523104	-0.394309714804885	1.41959697654163	-0.645147274367145	0.711702433963145	-0.603276385840632	1.23220725685755	1.85556639472971	1.01835927174847	0.558292362586766	0.603580829433933	0.934736717092192	-0.475322183207693	0.991265333573116	-0.742953181021355
MSR1	-0.16742870886784	-0.422746523701678	0.646857441150834	-0.541388685806266	1.13215592617537	-1.205966985091	0.266608484082595	-0.878349506908753	0.914321006432328	0.957395875880447	-1.28934836995923	-1.37072400055651	-0.756852748893464	-0.468075773964528	0.585725186303676	0.0633128655572564	-1.21516945113262	0.691975428921497
ITGA6	-1.21188983249767	1.29914185295973	0.104506591464439	1.30686668602106	0.275834432085647	-1.31657575967524	-0.0469304679174081	-0.800022216778156	-0.0711395856576609	0.479470449239901	-1.25596899122381	-1.12513388856589	-1.4312270702112	-0.608149351228916	-0.190629911295932	0.779444782712099	-1.09248603200919	1.66989869321057
ROR1	1.54175539333613	-0.205830591169763	-0.470539010941637	0.411738672975553	0.255324617459361	2.38965649210224	-0.712830670158061	0.334641428712351	-0.880910322190237	1.96777296965329	-0.0751968777256784	1.46670215675502	1.25597717285285	0.603307947033196	-0.743946376509393	-0.271491535241592	1.82509145304323	-0.756244775920048
SCHIP1	-1.28713068686079	0.196197620625829	0.723321637267951	-0.55063756779591	0.511413455997298	-1.12600847573558	0.313626564711951	-0.398413401095318	0.32986668605262	0.473913541044407	-1.61899601056419	-1.46095865581272	-1.37253923384989	-0.191951351425288	0.39195896028335	0.700620076513687	-1.27628861490515	0.911244486216228
PLCB4	0.343858045632897	2.40593292647621	-0.500878570377238	-0.431439526554806	1.19906532630368	0.455369065765264	-0.599197338001277	-0.386929321996735	-0.913165613381365	2.12973119133629	1.00650101434922	-0.365366543360887	-0.210112068798485	-0.636748277157053	-0.520960539219225	-0.371832264264788	1.56111973450723	-0.563318497480183
KCNK3	-0.949867911058308	1.44739061335197	-0.0922142887755066	0.890143297421509	1.40555704421723	-0.464317623266628	-0.757923231426471	0.688433359129226	-0.354393333565658	-1.13897647558636	-0.902582293751012	-0.952227038370239	-0.866011472531015	-0.777389089399765	-1.11549712814402	0.337004788252649	-0.503278869159225	0.547231495656614
LDLRAD3	0.0496425325133024	0.42521954248669	-0.53956070558391	2.11095700639794	-0.466659385067738	0.706380127623849	-0.497694060116377	0.704339324008422	-0.567040321589103	0.493260184347624	0.0254627560319333	0.930304478692736	0.770506565241686	-0.469327573561403	-0.581141073680655	-0.438203654025832	2.23118692020099	-0.262072662111945
EYA4	-0.824253485240194	2.05296595125315	-0.0576086966179579	0.693053064332259	0.208196852401407	2.29451264571037	-0.431935384617836	-0.164769779608368	0.534924003563093	-1.28180584959758	1.25592551232295	0.886261839618055	-0.945230294048245	-0.992189400404555	-0.629496219092954	-0.647286928922395	1.55064616080019	-1.06679182487676
TTC28	-0.026178361699302	0.322863249701783	-1.03896257968458	0.985318469276711	0.823762274132648	0.267753772754546	-0.131670734412129	0.701832909273979	0.137203990241638	0.546577549841237	0.993875375639481	-1.18442226006143	-0.185470538875256	-1.06933305550643	-1.09468368888332	-0.637879900366371	-0.33082757591134	0.995219519004839
IRX1	-0.837017958357957	0.767024639921913	-0.235272493420569	0.481445126317109	0.913667806829655	-0.459547637568008	0.707727436257337	-0.854605098792945	0.885868873389447	0.137501958473911	-0.789499757287914	-1.0282005267085	-0.624364159183125	-0.833856954604816	1.23920473044482	-0.769041033330213	0.00344714321947948	0.749530357606309
TMPRSS15	-0.348032729960378	1.83757701349625	-0.253534560717662	0.809850657582588	0.804959306989065	-1.05190020641378	1.11902173143128	-0.0966144857762233	0.0150418887662044	-1.14287154186948	-1.11290089220196	-1.03692996856454	-0.122908267383589	-0.792735678145228	-1.0309161488711	-0.503293063541164	-0.899910012323505	0.564223534974739
EPHA7	-1.44483448487018	-0.0344441420580168	0.470571435275943	-0.730260449697386	0.724693356523309	0.528187957168275	0.789475048731874	-0.270896987249055	0.991420365852971	0.476982012577853	-0.476192146905994	-1.64724012229774	-1.7076645776264	-0.253047570615785	0.657696518240457	-0.437765035374271	-1.53121973181652	0.200793939937788
