VAR	ABL1_BCR	ABL1_NUP214	CRLF2_P2RY8	DUX4	ETV6	ETV6_ABL1	ETV6_PAX5	ETV6_RUNX1	IGH_BCL2	IGH_CRLF2	IGH_DUX4	IGH_EPOR	IKZF1	JAK2	KMT2A	KMT2A_AFF1	KMT2A_EPS15	KMT2A_MLLT1	MEF2D_BCL9	PAX5	PAX5_CBFA2T3	PAX5_JAK2	PDGFRB_EBF1	TCF3_HLF	TCF3_PBX1	TCF3_ZNF384	ZNF384_EP300
TTC28	-0.5078008994363	-1.17789400796055	-0.581232986811123	0.789327258777176	-0.633567111285216	-0.666127076776657	-1.56089982017177	0.849356301407391	0.30606379517628	-1.05511917333512	1.03356924558056	-1.11897415021699	-0.0356700121078754	-1.19135161927898	0.962685314932924	1.0112057190482	0.981592341343837	1.0296974926622	-0.88137423286528	-0.859088664364031	-0.675258298669813	-1.26356682157033	-0.794358255790473	0.32159768508773	-0.22090418956829	0.872659309084937	1.06263982855863
TSPAN7	0.714298269877846	0.809604477643376	0.547750641835266	-1.62716649964165	0.494124122924905	0.106018386092189	0.389339283664197	0.640009965099303	-1.22824238060922	0.630018390855126	-1.44599175728915	0.637279374786443	0.466286921635358	0.590125244835134	-1.55684218963626	-0.995760197602168	-1.13830136886744	-1.41801822896867	-1.50344346210376	0.172880009655658	-0.562328971130025	0.410177924420219	0.713090839599198	-0.764741369936743	-1.53363784543005	0.487323297147682	0.466321337094133
CRLF2	0.0563713322765045	0.299957461178524	1.71621219407906	-0.242105024410652	-0.0460174487868873	-0.167203193559807	-0.786996648730197	-0.779513089500676	-0.809764874318668	2.1975098491534	-0.612295548458339	0.0606378869272046	-0.560932358931517	0.395672129243255	-0.283992727542898	-0.0205204857010667	-0.323776126131848	-0.214936247617324	-0.946018990357984	-0.297231456183015	-0.773600928997891	-0.0765880029838738	0.439943502271372	-0.241645191135349	-0.762997135354703	-0.655952864294225	-0.308518659162926
LINC01507	0.258566431379009	0.744298524384827	0.611085266986728	-0.692772984653888	1.10640439536582	-0.329689747697814	1.2151070925026	0.4253543951898	-0.96603834304842	0.732311780331964	-0.598041470008455	0.851734633423472	-0.336037524773666	0.532728904009248	-1.26311357786805	-1.2989001742864	-1.28381804483635	-1.28556105338452	-1.07675600303596	0.643411054078267	0.776594320936916	1.14542620623099	0.345770927469489	-1.34937427114319	-1.28977033001056	-0.365447878206283	-0.267554296571213
LAMP5	-0.525436662873826	-1.02330613464141	-0.553679715415126	-0.580047450733297	-0.233867701596252	0.248248528872617	1.15497509770524	-0.421449488677532	0.346258197665092	-0.629872981348867	-0.697279389567635	-0.403240392138756	0.51282708700985	-0.406879830696735	1.54936637138441	1.86085063074912	1.86998293034187	1.76964893026303	0.898785904619411	0.552637052079548	0.542424134382881	-0.605484845816219	-0.42253189238708	1.38171805561897	0.924125170298846	-0.51642338443243	-0.921143249119916
GRIK5	0.432986914131435	0.58807970188404	0.550090240785221	-0.091133452756502	0.209913717989611	0.542178350214271	0.787612042612614	0.291382958107361	-1.19603924217053	0.647404055052058	-0.308739054881897	0.504667708189152	0.519858955991081	0.0273021345759675	-1.64859405009286	-2.13259368853087	-2.07875323707974	-1.7159399081672	-0.0621434203513514	0.480764011082333	0.810387733069773	0.826758082004398	0.695255265412204	-0.601055608382831	-0.660461418413819	0.542234481018528	0.646334920284508
NRXN3	0.842460798453227	0.627934485355437	0.20890870564693	-0.990099965014062	0.396360837192851	0.648335425773733	-1.13734300774337	0.511769725417881	-0.970603372293314	0.774498976516429	-0.801887580918192	1.00944129250391	0.755822578593645	0.851713512241211	-1.4461655423589	-0.841513897912306	-0.368376946381124	-0.129207873810678	-0.492193435120258	-0.854138561626088	-0.755277299332741	0.782770354705512	1.36774252783973	0.783176621521055	-0.983830911724867	-0.870299890682501	-1.13487052483456
TLCD5	-0.144712969679505	-1.09774992965212	-0.503884405080063	-0.0156259199809546	0.519874852587753	-0.522580397525717	0.890929594272782	1.08041073143639	-0.235015716066821	-0.990201542402068	-0.0401353838286908	-1.10334035978228	0.73735547130184	-0.682848360051362	0.316014853863468	-0.597423500154055	-0.399163975530939	0.135154526152817	0.895435112690977	-0.0232133345745745	1.1104025974794	-1.17005591222869	-0.799592976701394	1.03520351160359	1.01518957760164	-0.963283761410827	-1.30726436824711
PON2	1.15657390622229	0.834492176049876	0.418602392953556	-0.978528253568009	-0.556305643830439	1.04076059869891	-0.321354771277658	-0.737102485873111	0.894421163391351	0.731050773067766	-1.08475041044957	0.737657793116624	-0.361206065841944	1.27515196959658	-0.249142042224653	-0.901016592939236	-0.782315097966107	-0.767215954631882	-0.629426087343032	0.454065727075505	0.18362664572082	0.675458944159025	1.22124612456762	-0.0198013323079386	-0.140039601806227	-0.198933644831761	-0.771664667223746
WNT9A	1.06734405459199	1.08690844517903	0.329480153042023	0.108320767511619	0.22525131032087	1.24032717583446	-0.233871665352138	-0.329050732515966	-0.697810258562698	0.774580331867081	0.0836688775586348	0.987901701153435	0.00950989643206581	0.939703920965065	-1.31965092840163	-1.38195193967484	-1.07845086549574	-0.937770846319109	-1.51330233639689	-0.484503290523649	-0.489986093589008	1.54816522416312	1.70207514446514	-0.646107550646188	-0.448531387541036	-0.883870083753693	-0.18175530998662
